,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3,2019,7,ST MALO,PARIS MONTPARNASSE,172.421052632,114.0,0.0,101.0,1.95099009901,1.6856725146200002,15.0,20.618888888900003,3.81213450292,0.153846153846,0.153846153846,0.230769230769,0.3846153846149999,0.0,0.0769230769231,8.0,27.6208333333,2.0,0.0,2019-07-01,15.3846153846,15.3846153846,23.0769230769,38.4615384615,0.0,7.692307692310001
5,2019,7,PARIS MONTPARNASSE,TOULOUSE MATABIAU,266.59473684200003,190.0,0.0,123.0,4.76598915989,2.88771929825,28.0,47.343452381000006,8.42210526316,0.259259259259,0.3333333333329999,0.222222222222,0.185185185185,0.0,0.0,28.0,47.343452381000006,13.0,4.0,2019-07-01,25.925925925900003,33.333333333300004,22.2222222222,18.5185185185,0.0,0.0
6,2019,7,TOULOUSE MATABIAU,PARIS MONTPARNASSE,265.262886598,194.0,0.0,86.0,5.1242248062,1.71469072165,29.0,45.6109195402,8.4074742268,0.3793103448279999,0.275862068966,0.0689655172414,0.206896551724,0.0344827586207,0.0344827586207,29.0,45.6109195402,13.0,4.0,2019-07-01,37.9310344828,27.5862068966,6.896551724139999,20.6896551724,3.44827586207,3.44827586207
21,2019,7,PARIS LYON,GENEVE,183.5,183.0,0.0,79.0,12.972151898699998,5.339890710380001,34.0,49.7651960784,11.8550091075,0.121212121212,0.393939393939,0.181818181818,0.181818181818,0.0909090909091,0.030303030303,30.0,54.9277777778,13.0,4.0,2019-07-01,12.1212121212,39.3939393939,18.1818181818,18.1818181818,9.09090909091,3.0303030303000003
25,2018,3,PARIS NORD,DUNKERQUE,120.996309963,285.0,14.0,65.0,18.2061538462,4.23437884379,39.0,41.2820512821,6.697416974169999,0.307692307692,0.179487179487,0.153846153846,0.333333333333,0.025641025641,0.0,28.0,6.697416974169999,19.0,7.0,2018-03-01,30.7692307692,17.9487179487,15.3846153846,33.333333333300004,2.5641025641,0.0
27,2018,3,PARIS LYON,GENEVE,194.005,203.0,3.0,26.0,10.0326923077,1.00425,20.0,24.0458333333,0.9825,0.25,0.15,0.35,0.1,0.15,0.0,20.0,0.9825,4.0,0.0,2018-03-01,25.0,15.0,35.0,10.0,15.0,0.0
28,2018,8,LILLE,MARSEILLE ST CHARLES,309.389534884,173.0,1.0,46.0,6.39601449275,1.81976744186,37.0,37.4427927928,10.4421511628,0.259259259259,0.0740740740741,0.185185185185,0.296296296296,0.111111111111,0.0740740740741,37.0,10.4421511628,13.0,6.0,2018-08-01,25.925925925900003,7.407407407409999,18.5185185185,29.6296296296,11.1111111111,7.407407407409999
33,2018,7,PARIS EST,STRASBOURG,113.211180124,494.0,11.0,112.0,10.0936011905,1.41942719117,41.0,34.7711382114,2.9751552795,0.0975609756098,0.219512195122,0.0731707317073,0.390243902439,0.1463414634149999,0.0731707317073,36.0,2.9751552795,16.0,5.0,2018-07-01,9.75609756098,21.9512195122,7.31707317073,39.0243902439,14.6341463415,7.31707317073
34,2019,3,PARIS MONTPARNASSE,QUIMPER,220.426229508,245.0,1.0,17.0,15.0843137255,0.53900273224,15.0,42.1333333333,3.23360655738,0.533333333333,0.266666666667,0.0,0.2,0.0,0.0,15.0,3.23360655738,8.0,3.0,2019-03-01,53.3333333333,26.6666666667,0.0,20.0,0.0,0.0
35,2019,3,PARIS MONTPARNASSE,POITIERS,93.0759013283,531.0,4.0,69.0,18.0369565217,1.99278937381,64.0,28.0619791667,4.7163504111300005,0.291666666667,0.145833333333,0.1875,0.25,0.0416666666667,0.0833333333333,35.0,4.7163504111300005,19.0,7.0,2019-03-01,29.1666666667,14.5833333333,18.75,25.0,4.16666666667,8.333333333330001
